,flare_start,flare_peak,flare_end,class,aia_loc,aia_xcen,aia_ycen,loc,noaa_ar
0,2023-09-30 00:38:00,2023-09-30 00:48:00,2023-09-30 01:04:21,C2.4,S16W62,821.506,-312.001,,
1,2023-09-30 00:55:00,2023-09-30 01:15:00,2023-09-30 01:31:24,C4.2,N14E74,-898.377,219.878,,
2,2023-09-30 03:57:00,2023-09-30 04:09:00,2023-09-30 04:34:00,C7.2,N14E71,-885.654,214.443,,
3,2023-09-30 05:34:00,2023-09-30 05:38:00,2023-09-30 05:44:00,C7.1,S14W64,843.43,-276.834,,
4,2023-09-30 05:44:00,2023-09-30 05:51:00,2023-09-30 05:56:00,C4.0,S14W63,836.498,-278.583,,
5,2023-09-30 05:56:00,2023-09-30 06:00:00,2023-09-30 06:20:00,C8.0,S15W64,839.62,-292.71,,
6,2023-09-30 06:24:00,2023-09-30 06:29:00,2023-09-30 06:51:00,C1.9,S20E43,-619.26,-388.837,,
7,2023-09-30 06:51:00,2023-09-30 06:56:00,2023-09-30 07:02:00,C2.4,N14E70,-880.889,212.675,,
8,2023-09-30 10:40:00,2023-09-30 10:46:00,2023-09-30 10:56:00,C2.6,N10E66,-873.024,140.173,,
9,2023-09-30 11:51:00,2023-09-30 11:57:00,2023-09-30 12:06:00,C9.6,S15W67,858.837,-287.358,,
10,2023-09-30 12:23:00,2023-09-30 12:29:00,2023-09-30 12:36:00,C4.9,N10E66,-873.041,140.197,,
11,2023-09-30 14:05:00,2023-09-30 14:18:00,2023-09-30 14:32:00,C4.0,S23W50,676.898,-439.357,,
12,2023-09-30 14:35:00,2023-09-30 14:44:00,2023-09-30 15:01:22,C5.1,S21E41,-592.137,-406.431,,
13,2023-09-30 15:57:00,2023-09-30 16:07:00,2023-09-30 16:14:00,C6.3,N10E64,-853.606,134.954,,
14,2023-09-30 16:16:00,2023-09-30 16:35:00,2023-09-30 16:52:20,M1.2,N10E65,-860.364,136.709,,
15,2023-09-30 18:04:00,2023-09-30 18:10:00,2023-09-30 18:15:00,C2.4,N14E64,-846.628,202.257,,
16,2023-09-30 18:15:00,2023-09-30 18:25:00,2023-09-30 18:34:00,C4.7,N14E62,-833.076,198.839,,
17,2023-09-30 18:58:00,2023-09-30 19:14:00,2023-09-30 19:31:00,C2.5,S26E45,-615.348,-475.35,,
18,2023-09-30 20:26:00,2023-09-30 20:37:00,2023-09-30 20:55:33,C2.7,N15E62,-829.075,215.133,,
19,2023-09-30 20:26:00,2023-09-30 20:52:00,2023-09-30 20:56:00,C3.2,N17E65,-839.909,252.505,,
20,2023-09-30 21:18:00,2023-09-30 21:38:00,2023-09-30 21:39:00,C6.2,N10E63,-846.644,133.301,,
21,2023-09-30 21:39:00,2023-09-30 21:45:00,2023-09-30 21:52:00,C6.6,S20E35,-521.107,-398.121,,
22,2023-09-30 23:41:00,2023-09-30 23:55:00,2023-10-01 00:13:18,C2.9,N09E60,-826.737,111.696,,
23,2023-10-01 00:40:00,2023-10-01 00:45:00,2023-10-01 00:51:00,C3.1,,,,,
24,2023-10-01 01:02:00,2023-10-01 01:06:00,2023-10-01 01:10:00,C3.0,,,,,
25,2023-10-01 01:10:00,2023-10-01 01:32:00,2023-10-01 01:43:00,M2.5,,,,,
26,2023-10-01 03:21:00,2023-10-01 03:24:00,2023-10-01 03:30:00,C9.3,,,,,
27,2023-10-01 05:10:00,2023-10-01 05:15:00,2023-10-01 05:21:00,C3.6,,,,S18E30,13450.0
28,2023-10-01 09:08:00,2023-10-01 09:15:00,2023-10-01 09:25:00,C2.5,,,,N13W12,13449.0
29,2023-10-01 09:39:00,2023-10-01 09:51:00,2023-10-01 10:01:00,C5.0,,,,,
30,2023-10-01 11:06:00,2023-10-01 11:14:00,2023-10-01 11:18:00,C3.6,,,,,
31,2023-10-01 14:10:00,2023-10-01 14:29:00,2023-10-01 14:41:00,C2.9,,,,,
32,2023-10-01 14:41:00,2023-10-01 14:48:00,2023-10-01 15:02:00,C3.4,,,,,
33,2023-10-01 19:11:00,2023-10-01 19:19:00,2023-10-01 19:25:00,C2.3,,,,,
34,2023-10-01 20:08:00,2023-10-01 20:15:00,2023-10-01 20:21:00,C2.1,,,,,
